name,latitude,longitude,free_bikes,empty_slots,total_bike_cap
East End Library,37.539778925345864,-77.41146002560403,4,2,6
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16
Broad & Harrison,37.55147166118693,-77.45193690061576,0,19,19
Broad & Lombardy,37.55371555769088,-77.45568104693,0,23,23
Broad Rock Library,37.48329106243563,-77.47938997776974,0,10,10
Abner Clay Park,37.54887732047105,-77.44269669055932,0,16,16
Center Stage,37.541363013108416,-77.43708378535466,0,19,19
Main Street Station,37.53458546847389,-77.43012148479552,0,16,16
Carter Jones Park,37.51493677847786,-77.46047501956636,0,16,16
Kanawha Plaza,37.53713573652868,-77.43928223848339,3,16,19
Monroe Park,37.54737383743278,-77.45103165507317,0,16,16
Battery Park,37.5685893266791,-77.44146307162482,0,12,12
City Hall,37.5412086052739,-77.43331968781506,0,22,22
Blackwell,37.51612407152553,-77.44437169211808,0,16,16
Fairmont,37.54495108205919,-77.41295584175873,0,16,16
Science Museum,37.560151413479645,-77.46598362922674,1,21,22
Browns Island,37.53504072957806,-77.44419604539902,0,19,19
Jefferson Ave,37.53468765662131,-77.4191200733185,0,22,22
Chimborazo Park,37.524791965101414,-77.41021313534976,0,16,16
Canal Walk,37.53344125317966,-77.43312120437622,0,17,17
Pleasants Park-Oregon Hill,37.54042169485879,-77.45154529809935,1,15,16
North Avenue Library,37.5701778224338,-77.43244108611579,0,10,10
Fairfield Court,37.549869757407336,-77.40291891011856,0,16,16
Petronius Jones Park-Randolph,37.54450501465425,-77.46329069137617,0,15,15
Main Library,37.543281332158195,-77.44265988862787,0,16,16
